level,string,length,n_leave_node,n_ending,n
2,"的倒不好",4,2,2,2
1,"的忙",2,15,22,36
2,"的忙问",3,4,4,4
1,"的工夫",3,29,31,33
1,"的只有",3,5,6,8
2,"的只有一",4,3,3,3
1,"的只管",3,6,6,6
1,"的银子",3,24,24,24
1,"的打",2,16,21,34
2,"的打发",3,3,4,5
3,"的打发人",4,2,2,2
2,"的打了",3,3,4,5
3,"的打了几",4,2,2,2
2,"的打他",3,3,3,3
1,"的命",2,27,30,34
1,"的叫了",3,4,4,4
1,"的在那里",4,4,4,4
1,"的在外头",4,2,2,2
1,"的眼",2,14,18,30
2,"的眼睛",3,8,8,8
2,"的眼泪",3,4,4,4
1,"的情",2,12,18,30
2,"的情分",3,6,6,6
1,"的诗",2,21,25,29
1,"的花",2,15,20,29
2,"的花儿",3,6,6,6
2,"的花名册子拿来",7,2,2,2
1,"的脸",2,20,22,29
1,"的看着",3,7,7,7
1,"的气",2,18,22,28
2,"的气色",3,4,4,4
1,"的过日子",4,7,7,7
1,"的过去",3,3,3,3
1,"的媳妇",3,17,21,26
2,"的媳妇们",4,3,3,3
1,"的要",2,22,24,26
1,"的么",2,25,25,25
1,"的起",2,12,14,25
2,"的起来",3,11,11,11
1,"的月钱",3,11,11,11
1,"的恩典",3,15,15,15
1,"的性子",3,8,8,8
1,"的声名",3,4,5,6
2,"的声名很不好",6,2,2,2
1,"的声儿",3,4,4,4
1,"的嘴",2,23,24,25
1,"的分儿",3,5,6,8
2,"的分儿了",4,3,3,3
1,"的分例",3,8,8,8
1,"的药",2,20,22,24
1,"的旧",2,16,18,24
2,"的旧病",3,6,6,6
1,"的贾母",3,6,8,10
1,"的和尚",3,5,5,5
1,"的几",2,13,15,23
2,"的几个",3,6,7,8
3,"的几个人",4,2,2,2
1,"的他",2,12,17,23
2,"的他这样",4,2,2,2
1,"的福",2,17,19,22
2,"的福气",3,3,3,3
1,"的问他",3,4,4,4
1,"的拿了",3,5,5,5
1,"的拿出来",4,2,2,2
1,"的坐着",3,9,9,9
1,"的才好",3,5,5,5
1,"的娘",2,16,18,20
1,"的二爷",3,4,4,4
1,"的二十两银子",6,2,2,2
1,"的书",2,12,15,20
2,"的书房",3,3,3,3
2,"的书信",3,3,3,3
1,"的身子",3,6,8,10
2,"的身子要紧",5,2,2,2
1,"的身分",3,4,4,4
1,"的着急",3,4,4,4
1,"的字",2,15,17,19
1,"的吃了",3,5,5,5
1,"的住",2,15,17,19
1,"的香",2,14,16,18
1,"的神情",3,4,5,6
1,"的把",2,15,16,17
1,"的车",2,13,14,16
2,"的车辆",3,3,3,3
1,"的白",2,14,15,16
1,"的饭",2,11,13,15
1,"的造化",3,7,8,13
1,"的自然是",4,2,2,2
1,"的自己",3,3,3,3
1,"的帐目",3,4,4,4
1,"的送了",3,5,5,5
1,"的跑进来说",5,2,2,2
1,"的脾气",3,12,12,12
1,"的缘故",3,10,10,10
1,"的使用",3,6,6,6
1,"的作了一",4,1,2,3
2,"的作了一个揖",6,2,2,2
1,"的苦处",3,5,5,5
1,"的新鲜",3,4,4,4
1,"的模样儿",4,9,9,9
1,"的睡去",3,7,7,7
1,"的用手指着",5,2,2,2
1,"的对联",3,3,3,3
1,"的信",2,12,12,12
1,"的美人",3,3,4,6
2,"的美人一",4,1,2,3
3,"的美人一样",5,2,2,2
1,"的早",2,11,11,11
1,"的姐姐",3,7,8,9
2,"的姐姐妹妹",5,2,2,2
1,"的夫妻",3,5,5,5
1,"的公子",3,5,5,5
1,"的闹起来",4,2,2,2
1,"的闹了",3,2,2,2
1,"的连饭也",4,2,2,2
1,"的连忙",3,2,2,2
1,"的毛病",3,2,3,6
2,"的毛病儿",4,4,4,4
1,"的毛丫头",4,3,3,3
1,"的果子",3,4,4,4
1,"的果然",3,2,2,2
1,"的方向",3,3,3,3
1,"的后门",3,3,3,3
1,"的像个",3,2,2,2
1,"的体面",3,7,7,7
1,"的体统",3,2,2,2
1,"的与他",3,2,2,2
1,"的长辈",3,2,2,2
1,"的行事",3,4,4,4
1,"的父亲",3,3,3,3
1,"的故事",3,6,6,6
1,"的扇套",3,2,2,2
1,"的戏子",3,2,2,2
1,"的少的",3,2,2,2
1,"的寿日",3,2,2,2
1,"的孝敬",3,2,2,2
1,"的妈妈",3,3,4,6
2,"的妈妈们",4,3,3,3
1,"的兄弟",3,8,8,8
